dist,idx_problem,n_segments,displace_func,reoptm_standard_form,reoptm_ldr,reoptm_pwldr_uniform,reoptm_pwldr_optimize,reoptm_eev,dr_ldr,dr_pwldr_uniform,dr_pwldr_optimize,obj_value_ldr,obj_value_pwldr_uniform,obj_value_pwldr_optimize,obj_value_eev,obj_value_standard_form,ws,opt_time
"Unif 10,90",5,4,ls_independent,24052.297330773545,31894.72570254667,24055.26644499895,24084.779055663756,24057.57299833895,32051.005972943112,27340.986772852302,27307.566137688213,32026.0367485237,27246.253549421184,27212.27275811368,21648.25486418831,24848.673175325046,21713.073799881902,17.88100004196167
"Unif 10,90",5,4,ls_dependent,24052.297330773545,31894.72570254667,24055.26644499895,24084.77905566376,24057.57299833895,32051.005972943112,27340.986772852302,27307.56613768822,32026.0367485237,27246.253549421184,27212.27275811369,21648.25486418831,24848.673175325046,21713.073799881902,6.38100004196167
"Unif 10,90",5,5,black_box,24052.297330773545,31894.72570254667,24532.457789720534,24074.869460603288,24057.57299833895,32051.005972943112,27394.593545061543,27336.44788888345,32026.0367485237,27304.508471861485,27240.367530451815,21648.25486418831,24848.673175325046,21713.073799881902,40.61400008201599
"Unif 10,90",5,5,ls_independent,24052.297330773545,31894.72570254667,24532.457789720534,24082.938190171382,24057.57299833895,32051.005972943112,27394.593545061543,27312.98799500479,32026.0367485237,27304.508471861485,27217.522482919278,21648.25486418831,24848.673175325046,21713.073799881902,17.1560001373291
"Unif 10,90",5,5,ls_dependent,24052.297330773545,31894.72570254667,24532.457789720534,24085.39742348097,24057.57299833895,32051.005972943112,27394.593545061543,27312.799246204027,32026.0367485237,27304.508471861485,27217.323586487273,21648.25486418831,24848.673175325046,21713.073799881902,26.760000228881836
"Unif 10,90",5,6,black_box,24052.297330773545,31894.72570254667,24069.202834733802,24061.704750473382,24057.57299833895,32051.005972943112,27338.96767658823,27308.043276756176,32026.0367485237,27243.692629068628,27213.80394750518,21648.25486418831,24848.673175325046,21713.073799881902,56.532999992370605
"Unif 10,90",5,6,ls_independent,24052.297330773545,31894.72570254667,24069.202834733802,24088.38284563076,24057.57299833895,32051.005972943112,27338.96767658823,27302.35733399277,32026.0367485237,27243.692629068628,27206.963013866553,21648.25486418831,24848.673175325046,21713.073799881902,44.269999980926514
"Unif 10,90",5,6,ls_dependent,24052.297330773545,31894.72570254667,24069.202834733802,24088.38284563076,24057.57299833895,32051.005972943112,27338.96767658823,27302.357333992775,32026.0367485237,27243.692629068628,27206.963013866556,21648.25486418831,24848.673175325046,21713.073799881902,17.024999856948853
"Unif 10,90",5,7,black_box,24052.297330773545,31894.72570254667,24272.026387945294,24080.486463848087,24057.57299833895,32051.005972943112,27333.080250076546,27305.38245175276,32026.0367485237,27240.307366817135,27212.489142646118,21648.25486418831,24848.673175325046,21713.073799881902,73.26400017738342
"Unif 10,90",5,7,ls_independent,24052.297330773545,31894.72570254667,24272.026387945294,24087.698125518265,24057.57299833895,32051.005972943112,27333.080250076546,27301.732165425215,32026.0367485237,27240.307366817135,27206.941733180018,21648.25486418831,24848.673175325046,21713.073799881902,46.901000022888184
"Unif 10,90",5,7,ls_dependent,24052.297330773545,31894.72570254667,24272.026387945294,24087.65324738406,24057.57299833895,32051.005972943112,27333.080250076546,27301.43118888761,32026.0367485237,27240.307366817135,27206.65337586954,21648.25486418831,24848.673175325046,21713.073799881902,64.83899998664856
"Unif 10,90",5,8,black_box,24052.297330773545,31894.72570254667,24078.008524173605,24089.436457790813,24057.57299833895,32051.005972943112,27339.25829066182,27310.236361608673,32026.0367485237,27243.813195832372,27215.501004042566,21648.25486418831,24848.673175325046,21713.073799881902,91.98099994659424
"Unif 10,90",5,8,ls_independent,24052.297330773545,31894.72570254667,24078.008524173605,24086.524228113085,24057.57299833895,32051.005972943112,27339.25829066182,27301.359172269724,32026.0367485237,27243.813195832372,27206.48661073852,21648.25486418831,24848.673175325046,21713.073799881902,69.53000020980835
"Unif 10,90",5,8,ls_dependent,24052.297330773545,31894.72570254667,24078.008524173605,24086.524228113085,24057.57299833895,32051.005972943112,27339.25829066182,27301.35917226972,32026.0367485237,27243.813195832372,27206.486610738517,21648.25486418831,24848.673175325046,21713.073799881902,34.962000131607056
